method,control,mean_err,median_err,max_err,time_s,mem_mb
Rosenbrock23,1.0e-5,0.0002453130790121151,0.00015069303683956647,0.0009847868318964004,0.0670794,26.289709091186523
Rosenbrock23,3.162277660168379e-6,0.0001214417309685481,7.43175809627683e-5,0.0004775953294786639,0.0927764,36.21755027770996
Rosenbrock23,1.0e-6,5.9282784539508024e-5,3.515577766410871e-5,0.00023842690708875125,0.1329232,51.15004539489746
Rosenbrock23,3.162277660168379e-7,2.8275956448462896e-5,1.6498785141871863e-5,0.00011783261437336989,0.1857842,73.41913414001465
Rosenbrock23,1.0000000000000001e-7,1.3563829982340263e-5,7.744223109451553e-6,5.5671036613968994e-5,0.2776163,107.13640403747559
Rosenbrock23,3.162277660168379e-8,6.362911540980232e-6,3.550979670752241e-6,2.638434806190304e-5,0.426464,157.6432399749756
Rosenbrock23,1.0e-8,3.0062025183134887e-6,1.6754654690309678e-6,1.2557832734572116e-5,0.6149326,233.37112998962402
Rosenbrock23,3.1622776601683795e-9,1.3946373421769298e-6,7.788968571231791e-7,5.841686101071275e-6,0.9463546,347.12990379333496
Rosenbrock23,1.0e-9,6.494307678069078e-7,3.6244063883472677e-7,2.706416091236008e-6,1.4340186,516.798849105835
Rosenbrock23,3.1622776601683795e-10,3.0288451646875994e-7,1.6619650256011198e-7,1.2926019410386402e-6,2.1439133,766.9272212982178
Rosenbrock23,1.0e-10,1.3984801117111755e-7,7.600441942479108e-8,5.8770035549216e-7,3.8853212,0.0
Rodas5P,0.1,0.08718293913573087,0.0026590499417238345,14.103466095939996,0.0220648,52.85208702087402
Rodas5P,0.03162277660168379,0.03166936156277608,0.000950767595573554,1.5802414338837447,0.0301752,64.60127830505371
Rodas5P,0.010000000000000002,0.006386172350378816,0.0003773108791803592,0.9998552917249945,0.0379046,80.72028160095215
Rodas5P,0.0031622776601683794,0.002420446217812473,0.00014264146206743877,0.99961870214592,0.0374642,104.63408470153809
Rodas5P,0.001,0.0016153847421202737,5.6117772042951763e-5,0.9996125545846164,0.0648984,143.70145225524902
Rodas5P,0.00031622776601683794,0.0006612866210516373,2.7106863173087525e-5,0.9995680184958786,0.0862378,203.0262966156006
Rodas5P,0.0001,1.7820009784888373e-5,1.2746288377107895e-5,0.00034993852421916216,0.133329,296.8131618499756
Rodas5P,3.1622776601683795e-5,9.416527226226296e-6,6.31539861550845e-6,9.649489793694954e-5,0.2404741,447.57509422302246
Rodas5P,1.0e-5,4.997766055983565e-6,3.4551936343163447e-6,4.069243014614976e-5,0.4093326,693.3056240081787
Rodas5P,3.162277660168379e-6,2.5007028041051927e-6,1.777676027270303e-6,1.4315566952305403e-5,0.6235632,1109.0618953704834
Rodas5P,1.0e-6,1.2397153515177062e-6,8.485621857401426e-7,7.774253602210734e-6,0.9935509,1827.6624965667725
Rodas5P,3.162277660168379e-7,6.208094926174468e-7,4.376059525856846e-7,3.833015749465929e-6,1.6173264,3088.5661220550537
Rodas5P,1.0000000000000001e-7,3.061875299516237e-7,2.0267145783847695e-7,2.187701313882684e-6,3.6210896,5339.008321762085
AutoTsit5(Rosenbrock23),0.1,0.20930002874288917,0.0328634452276132,12.993856940113997,0.0075019,6.154653549194336
AutoTsit5(Rosenbrock23),0.03162277660168379,0.13056985649368105,0.016153876412302814,8.635283053093557,0.0082374,6.154684066772461
AutoTsit5(Rosenbrock23),0.010000000000000002,0.07120182233731363,0.008647171105750084,1.0122301900964197,0.0091277,6.154699325561523
AutoTsit5(Rosenbrock23),0.0031622776601683794,0.03402791205169254,0.0034571139677412877,1.0003793830323788,0.0097812,6.154668807983398
AutoTsit5(Rosenbrock23),0.001,0.013192360735811428,0.0008940079558583669,0.9997349201736339,0.0076439,6.154684066772461
AutoTsit5(Rosenbrock23),0.00031622776601683794,0.005090729560879465,0.0003393561056898031,0.9998118844395933,0.0137158,6.154714584350586
AutoTsit5(Rosenbrock23),0.0001,0.0008725076968533721,9.58813714666551e-5,0.9965457568144855,0.0179266,6.154714584350586
